***TEST**UNOFFICIAL ELECTION RESULTS**TEST***
SanDiego
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"0001-306800-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","0","0.00%"
"0001-306800-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","0","0.00%"
"0001-306800-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","0","0.00%"
"0001-306800-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","0","0.00%"
"0001-306800-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","0","0.00%"
"0001-306800-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","0","0.00%"
"0001-306800-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","0","0.00%"
"0002-307000-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","0","0.00%"
"0002-307000-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","0","0.00%"
"0002-307000-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","0","0.00%"
"0002-307000-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","0","0.00%"
"0002-307000-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","0","0.00%"
"0002-307000-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","0","0.00%"
"0002-307000-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","0","0.00%"
"0003-307200-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","0","0.00%"
"0003-307200-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","0","0.00%"
"0003-307200-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","0","0.00%"
"0003-307200-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","0","0.00%"
"0003-307200-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","0","0.00%"
"0003-307200-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","0","0.00%"
"0003-307200-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","0","0.00%"
"0004-307400-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","0","0.00%"
"0004-307400-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","0","0.00%"
"0004-307400-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","0","0.00%"
"0004-307400-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","0","0.00%"
"0004-307400-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","0","0.00%"
"0004-307400-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","0","0.00%"
"0004-307400-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","0","0.00%"
"0005-307500-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","0","0.00%"
"0005-307500-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","0","0.00%"
"0005-307500-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","0","0.00%"
"0005-307500-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","0","0.00%"
"0005-307500-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","0","0.00%"
"0005-307500-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","0","0.00%"
"0005-307500-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","0","0.00%"
"0006-307600-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","0","0.00%"
"0006-307600-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","0","0.00%"
"0006-307600-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","0","0.00%"
"0006-307600-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","0","0.00%"
"0006-307600-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","0","0.00%"
"0006-307600-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","0","0.00%"
"0006-307600-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","0","0.00%"
"0007-307700-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","0","0.00%"
"0007-307700-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","0","0.00%"
"0007-307700-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","0","0.00%"
"0007-307700-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","0","0.00%"
"0007-307700-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","0","0.00%"
"0007-307700-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","0","0.00%"
"0007-307700-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","0","0.00%"
"0008-310300-BALBOA PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","0","0.00%"
"0008-310300-BALBOA PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","0","0.00%"
"0008-310300-BALBOA PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","0","0.00%"
"0008-310300-BALBOA PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","0","0.00%"
"0008-310300-BALBOA PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","0","0.00%"
"0008-310300-BALBOA PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","0","0.00%"
"0008-310300-BALBOA PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","0","0.00%"
"0009-320100-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","0","0.00%"
"0009-320100-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","0","0.00%"
"0009-320100-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","0","0.00%"
"0009-320100-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","0","0.00%"
"0009-320100-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","0","0.00%"
"0009-320100-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","0","0.00%"
"0009-320100-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","0","0.00%"
"0010-320203-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","0","0.00%"
"0010-320203-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","0","0.00%"
"0010-320203-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","0","0.00%"
"0010-320203-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","0","0.00%"
"0010-320203-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","0","0.00%"
"0010-320203-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","0","0.00%"
"0010-320203-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","0","0.00%"
"0011-320300-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","0","0.00%"
"0011-320300-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","0","0.00%"
"0011-320300-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","0","0.00%"
"0011-320300-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","0","0.00%"
"0011-320300-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","0","0.00%"
"0011-320300-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","0","0.00%"
"0011-320300-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","0","0.00%"
"0012-320330-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","0","0.00%"
"0012-320330-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","0","0.00%"
"0012-320330-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","0","0.00%"
"0012-320330-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","0","0.00%"
"0012-320330-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","0","0.00%"
"0012-320330-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","0","0.00%"
"0012-320330-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","0","0.00%"
"0013-320332-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","0","0.00%"
"0013-320332-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","0","0.00%"
"0013-320332-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","0","0.00%"
"0013-320332-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","0","0.00%"
"0013-320332-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","0","0.00%"
"0013-320332-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","0","0.00%"
"0013-320332-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","0","0.00%"
"0014-340200-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","0","0.00%"
"0014-340200-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","0","0.00%"
"0014-340200-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","0","0.00%"
"0014-340200-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","0","0.00%"
"0014-340200-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","0","0.00%"
"0014-340200-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","0","0.00%"
"0014-340200-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","0","0.00%"
"0015-340300-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","0","0.00%"
"0015-340300-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","0","0.00%"
"0015-340300-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","0","0.00%"
"0015-340300-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","0","0.00%"
"0015-340300-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","0","0.00%"
"0015-340300-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","0","0.00%"
"0015-340300-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","0","0.00%"
