UNOFFICIAL ELECTION RESULTS<br/>CLICK ON ELECTION RESULTS EXPLAINED TO LEARN MORE<br/>NEXT UPDATE 04/14/2025 BY 6PM
SanDiego
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"0001-306800-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","265","27.21%"
"0001-306800-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","58","27.21%"
"0001-306800-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","38","27.21%"
"0001-306800-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","17","27.21%"
"0001-306800-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","3","27.21%"
"0001-306800-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","2","27.21%"
"0001-306800-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","0","27.21%"
"0002-307000-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","190","25.79%"
"0002-307000-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","55","25.79%"
"0002-307000-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","25","25.79%"
"0002-307000-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","11","25.79%"
"0002-307000-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","3","25.79%"
"0002-307000-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","3","25.79%"
"0002-307000-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","0","25.79%"
"0003-307200-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","241","27.81%"
"0003-307200-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","63","27.81%"
"0003-307200-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","30","27.81%"
"0003-307200-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","17","27.81%"
"0003-307200-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","5","27.81%"
"0003-307200-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","2","27.81%"
"0003-307200-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","2","27.81%"
"0004-307400-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","107","16.75%"
"0004-307400-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","31","16.75%"
"0004-307400-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","28","16.75%"
"0004-307400-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","14","16.75%"
"0004-307400-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","4","16.75%"
"0004-307400-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","3","16.75%"
"0004-307400-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","1","16.75%"
"0005-307500-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","50","9.78%"
"0005-307500-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","44","9.78%"
"0005-307500-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","24","9.78%"
"0005-307500-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","18","9.78%"
"0005-307500-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","5","9.78%"
"0005-307500-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","4","9.78%"
"0005-307500-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","1","9.78%"
"0006-307600-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","146","17.97%"
"0006-307600-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","49","17.97%"
"0006-307600-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","34","17.97%"
"0006-307600-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","13","17.97%"
"0006-307600-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","9","17.97%"
"0006-307600-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","4","17.97%"
"0006-307600-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","2","17.97%"
"0007-307700-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","56","10.93%"
"0007-307700-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","40","10.93%"
"0007-307700-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","19","10.93%"
"0007-307700-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","15","10.93%"
"0007-307700-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","6","10.93%"
"0007-307700-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","1","10.93%"
"0007-307700-SOUTH PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","0","10.93%"
"0008-310300-BALBOA PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","126","15.20%"
"0008-310300-BALBOA PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","53","15.20%"
"0008-310300-BALBOA PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","22","15.20%"
"0008-310300-BALBOA PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","11","15.20%"
"0008-310300-BALBOA PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","5","15.20%"
"0008-310300-BALBOA PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","3","15.20%"
"0008-310300-BALBOA PARK","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","1","15.20%"
"0009-320100-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","70","12.29%"
"0009-320100-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","59","12.29%"
"0009-320100-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","26","12.29%"
"0009-320100-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","6","12.29%"
"0009-320100-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","3","12.29%"
"0009-320100-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","2","12.29%"
"0009-320100-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","0","12.29%"
"0010-320203-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","215","32.09%"
"0010-320203-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","172","32.09%"
"0010-320203-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","58","32.09%"
"0010-320203-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","27","32.09%"
"0010-320203-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","9","32.09%"
"0010-320203-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","7","32.09%"
"0010-320203-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","3","32.09%"
"0011-320300-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","40","11.86%"
"0011-320300-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","38","11.86%"
"0011-320300-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","23","11.86%"
"0011-320300-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","10","11.86%"
"0011-320300-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","5","11.86%"
"0011-320300-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","2","11.86%"
"0011-320300-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","0","11.86%"
"0012-320330-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","85","14.62%"
"0012-320330-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","80","14.62%"
"0012-320330-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","31","14.62%"
"0012-320330-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","12","14.62%"
"0012-320330-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","7","14.62%"
"0012-320330-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","3","14.62%"
"0012-320330-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","2","14.62%"
"0013-320332-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","0","0.00%"
"0013-320332-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LOUIS A. FUENTES","0","0.00%"
"0013-320332-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","0","0.00%"
"0013-320332-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","LINCOLN PICKARD","0","0.00%"
"0013-320332-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","0","0.00%"
"0013-320332-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","0","0.00%"
"0013-320332-HARBOR","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","0","0.00%"
"0014-340200-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","JOHN MC CANN","167","28.50%"
"0014-340200-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","PALOMA AGUIRRE","109","28.50%"
"0014-340200-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","VIVIAN MORENO","28","28.50%"
"0014-340200-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","CAROLINA CHAVEZ","25","28.50%"
"0014-340200-CENTRE CITY","MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","ELIZABETH EFIRD","10","28.50%"
